day,city,cases_filed,cum_filed,cases_disposed,cum_disposed,active_cases
2015-12-28,Brooklyn,1,1.0,1,1.0,0.0
2016-01-04,Brooklyn,1211,2228.0,1176,2162.0,66.0
2016-01-04,New York,1016,2228.0,985,2162.0,66.0
2016-01-11,Brooklyn,1730,5478.0,1708,5335.0,143.0
2016-01-11,New York,1520,5478.0,1465,5335.0,143.0
2016-01-18,Brooklyn,1081,7520.0,1071,7349.0,171.0
2016-01-18,New York,961,7520.0,943,7349.0,171.0
2016-01-25,Brooklyn,1321,9754.0,1291,9525.0,229.0
2016-01-25,New York,913,9754.0,885,9525.0,229.0
2016-02-01,Brooklyn,1497,12436.0,1450,12130.0,306.0
2016-02-01,New York,1185,12436.0,1155,12130.0,306.0
2016-02-08,Brooklyn,1674,15221.0,1650,14867.0,354.0
2016-02-08,New York,1111,15221.0,1087,14867.0,354.0
2016-02-15,Brooklyn,1703,18115.0,1658,17666.0,449.0
2016-02-15,New York,1191,18115.0,1141,17666.0,449.0
2016-02-22,Brooklyn,1049,20272.0,1004,19726.0,546.0
2016-02-22,New York,1108,20272.0,1056,19726.0,546.0
2016-02-29,Brooklyn,1168,22363.0,1126,21748.0,615.0
2016-02-29,New York,923,22363.0,896,21748.0,615.0
2016-03-07,Brooklyn,1640,25379.0,1622,24717.0,662.0
2016-03-07,New York,1376,25379.0,1347,24717.0,662.0
2016-03-14,Brooklyn,1336,27738.0,1312,27027.0,711.0
2016-03-14,New York,1023,27738.0,998,27027.0,711.0
2016-03-21,Brooklyn,1059,29567.0,1031,28791.0,776.0
2016-03-21,New York,770,29567.0,733,28791.0,776.0
2016-03-28,Brooklyn,783,31017.0,763,30198.0,819.0
2016-03-28,New York,667,31017.0,644,30198.0,819.0
2016-04-04,Brooklyn,1294,33206.0,1272,32348.0,858.0
2016-04-04,New York,895,33206.0,878,32348.0,858.0
2016-04-11,Brooklyn,1228,35480.0,1206,34576.0,904.0
2016-04-11,New York,1046,35480.0,1022,34576.0,904.0
