zipcode,filedate,totaleviction
00000,2017-07-11,1
00000,2021-05-24,2
00001,2018-01-11,1
10000,2016-05-10,1
10001,2016-01-05,3
10001,2016-01-06,3
10001,2016-01-07,6
10001,2016-01-08,3
10001,2016-01-11,3
10001,2016-01-12,2
10001,2016-01-13,1
10001,2016-01-14,2
10001,2016-01-15,5
10001,2016-01-20,2
10001,2016-01-21,17
10001,2016-01-26,3
10001,2016-01-27,7
10001,2016-01-28,2
10001,2016-01-29,9
10001,2016-02-01,1
10001,2016-02-02,8
10001,2016-02-03,7
10001,2016-02-04,7
10001,2016-02-05,10
10001,2016-02-08,1
10001,2016-02-09,3
10001,2016-02-10,4
10001,2016-02-11,7
10001,2016-02-16,2
10001,2016-02-17,1
10001,2016-02-18,10
10001,2016-02-19,1
10001,2016-02-22,3
10001,2016-02-23,5
10001,2016-02-24,4
10001,2016-02-25,2
10001,2016-02-26,2
10001,2016-02-29,4
10001,2016-03-01,2
10001,2016-03-02,9
10001,2016-03-03,12
10001,2016-03-04,1
10001,2016-03-07,1
10001,2016-03-08,1
10001,2016-03-09,2
10001,2016-03-10,5
10001,2016-03-11,4
10001,2016-03-14,13
10001,2016-03-15,3
10001,2016-03-16,1
10001,2016-03-17,5
10001,2016-03-18,2
10001,2016-03-21,2
10001,2016-03-22,4
10001,2016-03-25,2
10001,2016-03-28,3
10001,2016-03-29,2
10001,2016-03-30,7
10001,2016-03-31,5
10001,2016-04-01,11
10001,2016-04-04,5
10001,2016-04-05,3
10001,2016-04-07,5
10001,2016-04-08,2
10001,2016-04-11,1
10001,2016-04-12,3
10001,2016-04-13,1
10001,2016-04-14,17
10001,2016-04-18,5
10001,2016-04-19,1
10001,2016-04-20,1
10001,2016-04-21,4
10001,2016-04-25,2
10001,2016-04-26,1
10001,2016-04-27,5
10001,2016-05-02,1
10001,2016-05-04,6
10001,2016-05-05,1
10001,2016-05-06,1
10001,2016-05-10,2
10001,2016-05-11,4
10001,2016-05-12,1
10001,2016-05-13,1
10001,2016-05-16,19
10001,2016-05-17,2
10001,2016-05-18,5
10001,2016-05-19,2
10001,2016-05-23,1
10001,2016-05-24,3
10001,2016-05-26,2
10001,2016-06-01,1
10001,2016-06-02,6
10001,2016-06-03,3
10001,2016-06-06,14
10001,2016-06-08,1
10001,2016-06-09,3
10001,2016-06-14,1
10001,2016-06-15,6
10001,2016-06-16,4
10001,2016-06-17,1
10001,2016-06-19,1
10001,2016-06-20,2
10001,2016-06-21,1
10001,2016-06-22,8
10001,2016-06-24,1
10001,2016-06-27,2
10001,2016-06-28,3
10001,2016-06-29,1
10001,2016-06-30,3
10001,2016-07-01,4
10001,2016-07-05,5
10001,2016-07-07,11
10001,2016-07-08,4
10001,2016-07-11,3
10001,2016-07-12,7
10001,2016-07-13,2
10001,2016-07-15,4
10001,2016-07-18,1
10001,2016-07-19,2
10001,2016-07-20,2
10001,2016-07-21,28
10001,2016-07-22,2
10001,2016-07-25,6
10001,2016-07-26,4
10001,2016-07-27,2
10001,2016-07-28,5
10001,2016-07-29,1
10001,2016-08-01,2
10001,2016-08-02,1
10001,2016-08-03,3
10001,2016-08-04,6
10001,2016-08-05,2
10001,2016-08-08,1
10001,2016-08-09,6
10001,2016-08-10,17
10001,2016-08-11,5
10001,2016-08-12,4
10001,2016-08-16,2
10001,2016-08-17,4
10001,2016-08-19,1
10001,2016-08-22,1
10001,2016-08-23,1
10001,2016-08-24,1
10001,2016-08-25,2
10001,2016-08-26,5
10001,2016-08-29,9
10001,2016-08-30,4
10001,2016-08-31,3
10001,2016-09-01,3
10001,2016-09-02,2
10001,2016-09-07,1
10001,2016-09-08,1
10001,2016-09-09,2
10001,2016-09-12,9
10001,2016-09-13,1
10001,2016-09-14,5
10001,2016-09-15,3
10001,2016-09-16,1
10001,2016-09-19,20
10001,2016-09-20,4
10001,2016-09-21,6
10001,2016-09-22,1
10001,2016-09-23,2
10001,2016-09-26,2
